program	display_program	new_P	name_short	dominant_class	dominant_subclass	annotation_class	display_marker	lead_genes
1	1	P1	Reg. alt. mRNA splicing	exc	L6 IT	class_a	0	ADGRB3;CCSER1;NALF1;NRG3;GRIA2;SYT1;CADM2;PLCB1
2	2	P2	Axoneme assembly	exc	L2-L3 IT LINC00507	class_b	1	HHAT;CBLN2;ART3;DGKB;HS6ST3;PDGFD;LRRTM4;GREB1L
3	3	P3	Glutamate receptor signaling	exc	L2-L3 IT LINC00507	class_a	0	CNGB1;GLRA3;ADAMTS3;PTGER3;RFX3;FREM3;GULP1;WDR86
4	4	P4	Mito. resp. chain asm.	exc	L6 IT	class_b	1	PDE5A;INSL6;PDXDC1;P2RY14;UBE3A;FILIP1L;IL7;MAK
5	5	P5	Neg. reg. lipid biosynth.	exc	L2-L3 IT LINC00507	class_a	0	GRM1;CCBE1;DOK6;ITGA4;GNAL;GLP2R;PALMD;MAN1A1
6	6	P6	Pos. reg. secretion	exc	L2-L3 IT LINC00507	class_b	1	THSD4;SLC38A11;CADPS2;LINGO2;TENM2;PLCB1;TAFA1;TAFA2
7	7	P7	Cation channel (interneuron)	inh	PVALB	class_a	0	ABTB3;ADAMTS17;ZNF804A;RNF144B;SULF1;MYO5B;TMEM132C;PPARGC1A
8	8	P8	Neurofilament cytoskeleton (pan-neuronal)	exc	L4-L5 IT RORB	class_a	0	NEFL;TUBA1B;CALM1;STMN1;PEBP1;NRGN;CALM2;CALM3
10	9	P9	Reg. ECM organization	exc	ET	class_a	0	SYT2;SV2C;LAMA2;TXK;NRG1;CNTN6;TPBG;ONECUT2
11	10	P10	Reg. SR Ca2+ release	exc	L4-L5 IT RORB	class_b	1	TRABD2A;ARSJ;CAMK2D;TLL1;LRRK1;DNAH6;SMYD2;NPY2R
12	11	P11	Postsynaptic glutamate sig.	exc	L6 IT	class_b	1	THEMIS;ARHGEF28;MCTP1;SLC35F3;TMEM233;SH2D1B;SEC24D;CLSTN2
13	12	P12	Oligodendrocyte development	glia	OLIGO	class_b	1	SIK3;ANK3;PPP2R2B;IL1RAPL1;ERBIN;PDE4B;PIP4K2A;EXOC6B
14	13	P13	Pos. reg. cation channel	exc	L3-L4 IT RORB	class_a	0	NTNG1;CUX1;TRPC3;CSMD2;POU6F2;CNTN5;ENTREP2;LRRC4C
15	14	P14	Astrocyte glutamate transport	glia	AST	class_a	0	SLCO1C1;GPC5;SLC1A2;SLC1A3;NHSL1;ADGRV1;ZNF98;GLI3
16	15	P15	Axon guidance & outgrowth	exc	L2-L3 IT LINC00507	class_b	1	COL5A2;PRSS12;KCNH5;LAMA2;CCDC68;TRHDE;VIPR2;PHLDB2
