ecosystem	package	version
runtime	operating_system	Ubuntu 22.04.5 LTS
runtime	Python	3.10.12
runtime	R	4.5.0
Python	anndata	0.11.4
Python	cnmf	1.7.1
Python	h5py	3.14.0
Python	matplotlib	3.10.8
Python	networkx	3.4.2
Python	nilearn	0.13.1
Python	numpy	2.2.4
Python	openpyxl	3.1.5
Python	pandas	2.3.3
Python	patsy	1.0.2
Python	pillow	12.1.1
Python	pyarrow	23.0.1
Python	pypdf	6.14.1
Python	PyYAML	5.4.1
Python	scikit-learn	1.7.2
Python	scipy	1.15.3
Python	seaborn	0.13.2
Python	statsmodels	0.14.6
Python	svgutils	0.3.4
Python	torch	2.11.0
R	Matrix	1.7-3
R	lme4	2.0-1
R	lmerTest	3.2-1
R	pbkrtest	0.5.5
R	limma	3.66.0
R	variancePartition	1.40.2
R	emmeans	2.0.2
R	data.table	1.18.2.1
R	ComplexHeatmap	2.26.1
R	circlize	0.4.17
R	ggplot2	4.0.2
R	ragg	1.5.2
R	svglite	2.2.2
R	uwot	0.2.4
